,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year,General_Position
677,Franck Kessié,Central Midfield,22,33000000,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Milan,32000000,2019,Midfield
678,Kerem Demirbay,Central Midfield,25,32000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,Bayer 04 Leverkusen,32000000,2019,Midfield
679,Krzysztof Piatek,Centre-Forward,24,32000000,Italy,Serie A,AC Milan,Germany,Bundesliga,Hertha BSC,24000000,2019,Attack
680,Cristian Romero,Centre-Back,21,15000000,Italy,Serie A,Genoa CFC,Italy,Serie A,Juventus FC,31000000,2019,Defense
681,Alex Iwobi,Attacking Midfield,23,25000000,England,Premier League,Arsenal FC,England,Premier League,Everton FC,30000000,2019,Midfield
682,Marcos Llorente,Central Midfield,24,20000000,Spain,LaLiga,Real Madrid,Spain,LaLiga,Atlético de Madrid,30000000,2019,Midfield
683,Gelson Martins,Right Winger,24,28000000,Spain,LaLiga,Atlético de Madrid,Monaco,Ligue 1,AS Monaco,30000000,2019,Attack
684,William Saliba,Centre-Back,18,12000000,France,Ligue 1,AS Saint-Étienne,England,Premier League,Arsenal FC,30000000,2019,Defense
685,Idrissa Gueye,Central Midfield,29,25000000,England,Premier League,Everton FC,France,Ligue 1,Paris Saint-Germain,30000000,2019,Midfield
686,Ismaïla Sarr,Right Winger,21,30000000,France,Ligue 1,Stade Rennais FC,England,Premier League,Watford FC,30000000,2019,Attack
687,Reinier,Attacking Midfield,18,25000000,Brazil,Others,CR Flamengo,Spain,LaLiga,Real Madrid,30000000,2019,Midfield
688,Matteo Politano,Right Winger,25,30000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Inter Milan,21000000,2019,Attack
689,Stephan El Shaarawy,Left Winger,26,30000000,Italy,Serie A,AS Roma,China,Others,Shanghai Greenland Shenhua,16000000,2019,Attack
690,Ivan Perisic,Left Midfield,30,30000000,Italy,Serie A,Inter Milan,Germany,Bundesliga,Bayern Munich,5000000,2019,Midfield
691,Emre Can,Defensive Midfield,26,30000000,Italy,Serie A,Juventus FC,Germany,Bundesliga,Borussia Dortmund,1000000,2019,Midfield
692,Suso,Right Winger,26,30000000,Italy,Serie A,AC Milan,Spain,LaLiga,Sevilla FC,980000,2019,Attack
693,Santi Mina,Centre-Forward,23,30000000,Spain,LaLiga,Valencia CF,Spain,LaLiga,Celta de Vigo,0,2019,Attack
694,Dani Ceballos,Central Midfield,22,30000000,Spain,LaLiga,Real Madrid,England,Premier League,Arsenal FC,0,2019,Midfield
695,Leonardo Spinazzola,Left-Back,26,15000000,Italy,Serie A,Juventus FC,Italy,Serie A,AS Roma,29000000,2019,Defense
696,Rafael Leão,Left Winger,20,15000000,France,Ligue 1,LOSC Lille,Italy,Serie A,AC Milan,29000000,2019,Attack
697,Pablo Fornals,Attacking Midfield,23,25000000,Spain,LaLiga,Villarreal CF,England,Premier League,West Ham United,28000000,2019,Midfield
698,Borja Iglesias,Centre-Forward,26,28000000,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,Real Betis Balompié,28000000,2019,Attack
699,André Gomes,Central Midfield,25,28000000,Spain,LaLiga,FC Barcelona,England,Premier League,Everton FC,25000000,2019,Midfield
700,Jean-Philippe Gbamin,Defensive Midfield,23,28000000,Germany,Bundesliga,1.FSV Mainz 05,England,Premier League,Everton FC,25000000,2019,Midfield
701,Patrick Cutrone,Centre-Forward,21,28000000,Italy,Serie A,AC Milan,England,Premier League,Wolverhampton Wanderers,18000000,2019,Attack
702,Matteo Politano,Right Winger,26,28000000,Italy,Serie A,Inter Milan,Italy,Serie A,SSC Napoli,2000000,2019,Attack
703,Radja Nainggolan,Central Midfield,31,28000000,Italy,Serie A,Inter Milan,Italy,Serie A,Cagliari Calcio,0,2019,Midfield
704,Yannick Carrasco,Left Winger,26,28000000,China,Others,Dalian Professional,Spain,LaLiga,Atlético de Madrid,0,2019,Attack
705,Kieran Tierney,Left-Back,22,12000000,Scotland,Others,Celtic FC,England,Premier League,Arsenal FC,27000000,2019,Defense
706,Alex Meret,Goalkeeper,22,25000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,SSC Napoli,26000000,2019,Goalkeeper
707,Neto,Goalkeeper,29,18000000,Spain,LaLiga,Valencia CF,Spain,LaLiga,FC Barcelona,26000000,2019,Goalkeeper
708,Nico Schulz,Left-Back,26,25000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,Borussia Dortmund,25000000,2019,Defense
709,Danny Ings,Centre-Forward,26,15000000,England,Premier League,Liverpool FC,England,Premier League,Southampton FC,25000000,2019,Attack
710,Wesley Moraes,Centre-Forward,22,20000000,Belgium,Others,Club Brugge KV,England,Premier League,Aston Villa,25000000,2019,Attack
711,Mario Hermoso,Centre-Back,24,25000000,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,Atlético de Madrid,25000000,2019,Defense
712,Rony Lopes,Right Winger,23,25000000,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,Sevilla FC,25000000,2019,Attack
713,Jeff Reine-Adélaïde,Attacking Midfield,21,11000000,France,Ligue 1,Angers SCO,France,Ligue 1,Olympique Lyon,25000000,2019,Midfield
714,Lucas Tousart,Defensive Midfield,22,20000000,France,Ligue 1,Olympique Lyon,Germany,Bundesliga,Hertha BSC,25000000,2019,Midfield
715,Joachim Andersen,Centre-Back,23,25000000,Italy,Serie A,UC Sampdoria,France,Ligue 1,Olympique Lyon,24000000,2019,Defense
716,Bryan Cristante,Defensive Midfield,24,25000000,Italy,Serie A,Atalanta BC,Italy,Serie A,AS Roma,22000000,2019,Midfield
717,Thiago Mendes,Defensive Midfield,27,25000000,France,Ligue 1,LOSC Lille,France,Ligue 1,Olympique Lyon,22000000,2019,Midfield
718,Junior Firpo,Left-Back,22,25000000,Spain,LaLiga,Real Betis Balompié,Spain,LaLiga,FC Barcelona,20000000,2019,Defense
719,Allan Saint-Maximin,Left Winger,22,25000000,France,Ligue 1,OGC Nice,England,Premier League,Newcastle United,18000000,2019,Attack
720,Exequiel Palacios,Central Midfield,21,25000000,Argentina,Others,CA River Plate,Germany,Bundesliga,Bayer 04 Leverkusen,17000000,2019,Midfield
721,Shoya Nakajima,Attacking Midfield,24,25000000,Qatar,Others,Al-Duhail SC,Portugal,Others,FC Porto,12000000,2019,Midfield
722,Henrikh Mkhitaryan,Attacking Midfield,30,25000000,England,Premier League,Arsenal FC,Italy,Serie A,AS Roma,3000000,2019,Midfield
723,Jean Michaël Seri,Central Midfield,27,25000000,England,Others,Fulham FC,Turkey,Others,Galatasaray,1000000,2019,Midfield
724,Ander Herrera,Central Midfield,29,25000000,England,Premier League,Manchester United,France,Ligue 1,Paris Saint-Germain,0,2019,Midfield
725,Frank Anguissa,Central Midfield,23,25000000,England,Others,Fulham FC,Spain,LaLiga,Villarreal CF,0,2019,Midfield
726,Dejan Kulusevski,Right Winger,19,25000000,Italy,Serie A,Juventus FC,Italy,Serie A,Parma Calcio 1913,0,2019,Attack
727,Dennis Praet,Central Midfield,25,24000000,Italy,Serie A,UC Sampdoria,England,Premier League,Leicester City,19000000,2019,Midfield
728,Pau López,Goalkeeper,24,20000000,Spain,LaLiga,Real Betis Balompié,Italy,Serie A,AS Roma,23000000,2019,Goalkeeper
729,Nikola Vlasic,Attacking Midfield,21,20000000,England,Premier League,Everton FC,Russia,Others,CSKA Moscow,23000000,2019,Midfield
730,Sander Berge,Central Midfield,21,22000000,Belgium,Others,KRC Genk,England,Premier League,Sheffield United,23000000,2019,Midfield
731,Julian Weigl,Defensive Midfield,24,23000000,Germany,Bundesliga,Borussia Dortmund,Portugal,Others,SL Benfica,20000000,2019,Midfield
732,Gabriel Barbosa,Centre-Forward,23,23000000,Italy,Serie A,Inter Milan,Brazil,Others,CR Flamengo,17000000,2019,Attack
733,Steven Nzonzi,Defensive Midfield,30,23000000,Italy,Serie A,AS Roma,Turkey,Others,Galatasaray,0,2019,Midfield
734,Simone Verdi,Attacking Midfield,27,23000000,Italy,Serie A,SSC Napoli,Italy,Serie A,Torino FC,0,2019,Midfield
735,Raúl de Tomás,Centre-Forward,25,15000000,Portugal,Others,SL Benfica,Spain,LaLiga,RCD Espanyol Barcelona,22000000,2019,Attack
736,Victor Osimhen,Centre-Forward,20,13000000,Belgium,Others,RSC Charleroi,France,Ligue 1,LOSC Lille,22000000,2019,Attack
737,Valentino Lazaro,Right-Back,23,17000000,Germany,Bundesliga,Hertha BSC,Italy,Serie A,Inter Milan,22000000,2019,Defense
738,Tyrone Mings,Centre-Back,26,5000000,England,Premier League,AFC Bournemouth,England,Premier League,Aston Villa,22000000,2019,Defense
739,Adam Webster,Centre-Back,24,9000000,England,Others,Bristol City,England,Premier League,Brighton & Hove Albion,22000000,2019,Defense
740,Luca Pellegrini,Left-Back,20,5000000,Italy,Serie A,AS Roma,Italy,Serie A,Juventus FC,22000000,2019,Defense
741,Filip Kostić,Left Midfield,26,22000000,Germany,Others,Hamburger SV,Germany,Bundesliga,Eintracht Frankfurt,6000000,2019,Midfield
742,Gianluca Mancini,Centre-Back,23,22000000,Italy,Serie A,Atalanta BC,Italy,Serie A,AS Roma,2000000,2019,Defense
743,Christian Kouamé,Centre-Forward,22,22000000,Italy,Serie A,Genoa CFC,Italy,Serie A,ACF Fiorentina,1000000,2019,Attack
744,Héctor Herrera,Central Midfield,29,22000000,Portugal,Others,FC Porto,Spain,LaLiga,Atlético de Madrid,0,2019,Midfield
745,Alfonso Pedraza,Left-Back,23,22000000,Spain,LaLiga,Villarreal CF,Spain,LaLiga,Real Betis Balompié,0,2019,Defense
746,André Silva,Centre-Forward,23,22000000,Italy,Serie A,AC Milan,Germany,Bundesliga,Eintracht Frankfurt,0,2019,Attack
747,Renan Lodi,Left-Back,21,4000000,Brazil,Others,Club Athletico Paranaense,Spain,LaLiga,Atlético de Madrid,21000000,2019,Defense
748,Jarrod Bowen,Right Winger,23,10000000,England,Others,Hull City,England,Premier League,West Ham United,21000000,2019,Attack
749,Luis Muriel,Centre-Forward,28,13000000,Spain,LaLiga,Sevilla FC,Italy,Serie A,Atalanta BC,21000000,2019,Attack
750,Amadou Diawara,Defensive Midfield,21,15000000,Italy,Serie A,SSC Napoli,Italy,Serie A,AS Roma,21000000,2019,Midfield
751,Raphinha,Right Winger,22,8000000,Portugal,Others,Sporting CP,France,Ligue 1,Stade Rennais FC,21000000,2019,Attack
752,Stanislav Lobotka,Defensive Midfield,25,20000000,Spain,LaLiga,Celta de Vigo,Italy,Serie A,SSC Napoli,21000000,2019,Midfield
753,Yacine Brahimi,Left Winger,29,21000000,Portugal,Others,FC Porto,Qatar,Others,Al-Rayyan SC,0,2019,Attack
754,Kasper Dolberg,Centre-Forward,21,18000000,Netherlands,Others,Ajax Amsterdam,France,Ligue 1,OGC Nice,20000000,2019,Attack
755,Edmond Tapsoba,Centre-Back,20,4000000,Portugal,Others,Vitória Guimarães SC,Germany,Bundesliga,Bayer 04 Leverkusen,20000000,2019,Defense
756,Emil Audero,Goalkeeper,22,15000000,Italy,Serie A,Juventus FC,Italy,Serie A,UC Sampdoria,20000000,2019,Goalkeeper
757,Felipe,Centre-Back,30,20000000,Portugal,Others,FC Porto,Spain,LaLiga,Atlético de Madrid,20000000,2019,Defense
758,Raúl de Tomás,Centre-Forward,24,20000000,Spain,LaLiga,Real Madrid,Portugal,Others,SL Benfica,20000000,2019,Attack
759,Dodi Lukébakio,Right Winger,21,18000000,England,Premier League,Watford FC,Germany,Bundesliga,Hertha BSC,20000000,2019,Attack
760,Maximilian Philipp,Second Striker,25,13000000,Germany,Bundesliga,Borussia Dortmund,Russia,Others,Dinamo Moscow,20000000,2019,Attack
761,Renato Sanches,Central Midfield,22,18000000,Germany,Bundesliga,Bayern Munich,France,Ligue 1,LOSC Lille,20000000,2019,Midfield
762,Youssef En-Nesyri,Centre-Forward,22,12000000,Spain,LaLiga,CD Leganés,Spain,LaLiga,Sevilla FC,20000000,2019,Attack
763,Bruno Guimarães,Defensive Midfield,22,20000000,Brazil,Others,Club Athletico Paranaense,France,Ligue 1,Olympique Lyon,20000000,2019,Midfield
764,Ademola Lookman,Second Striker,21,20000000,England,Premier League,Everton FC,Germany,Bundesliga,RB Leipzig,18000000,2019,Attack
765,Diadié Samassékou,Defensive Midfield,23,20000000,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,TSG 1899 Hoffenheim,14000000,2019,Midfield
766,Andrea Petagna,Centre-Forward,24,20000000,Italy,Serie A,Atalanta BC,Italy,Serie A,SPAL,12000000,2019,Attack
767,João Pedro,Centre-Forward,18,20000000,Brazil,Others,Fluminense Football Club,England,Premier League,Watford FC,11000000,2019,Attack
768,David Luiz,Centre-Back,32,20000000,England,Premier League,Chelsea FC,England,Premier League,Arsenal FC,8000000,2019,Defense
769,Aarón Martín,Left-Back,22,20000000,Spain,LaLiga,RCD Espanyol Barcelona,Germany,Bundesliga,1.FSV Mainz 05,6000000,2019,Defense
770,Chris Smalling,Centre-Back,29,20000000,England,Premier League,Manchester United,Italy,Serie A,AS Roma,3000000,2019,Defense
771,Giovanni Simeone,Centre-Forward,24,20000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Cagliari Calcio,3000000,2019,Attack
772,Patrick Cutrone,Centre-Forward,22,20000000,England,Premier League,Wolverhampton Wanderers,Italy,Serie A,ACF Fiorentina,3000000,2019,Attack
773,Marko Grujić,Defensive Midfield,23,20000000,England,Premier League,Liverpool FC,Germany,Bundesliga,Hertha BSC,2000000,2019,Midfield
774,Danny Rose,Left-Back,29,20000000,England,Premier League,Tottenham Hotspur,England,Premier League,Newcastle United,2000000,2019,Defense
775,Jordan Veretout,Defensive Midfield,26,20000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,AS Roma,1000000,2019,Midfield
776,Mario Balotelli,Centre-Forward,29,20000000,France,Ligue 1,Olympique Marseille,Italy,Serie A,Brescia Calcio,0,2019,Attack
777,Diego Godín,Centre-Back,33,20000000,Spain,LaLiga,Atlético de Madrid,Italy,Serie A,Inter Milan,0,2019,Defense
778,Carles Aleñá,Central Midfield,21,20000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Real Betis Balompié,0,2019,Midfield
779,Álvaro Odriozola,Right-Back,24,20000000,Spain,LaLiga,Real Madrid,Germany,Bundesliga,Bayern Munich,0,2019,Defense
780,Lucas Tousart,Defensive Midfield,22,20000000,Germany,Bundesliga,Hertha BSC,France,Ligue 1,Olympique Lyon,0,2019,Midfield
781,Alessandro Florenzi,Right-Back,28,20000000,Italy,Serie A,AS Roma,Spain,LaLiga,Valencia CF,0,2019,Defense
782,Daniel Podence,Left Winger,24,6000000,Greece,Others,Olympiacos Piraeus,England,Premier League,Wolverhampton Wanderers,19000000,2019,Attack
783,Merih Demiral,Centre-Back,21,15000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Juventus FC,19000000,2019,Defense
784,Sofyan Amrabat,Defensive Midfield,23,10000000,Italy,Serie A,Hellas Verona,Italy,Serie A,ACF Fiorentina,19000000,2019,Midfield
785,Oliver McBurnie,Centre-Forward,23,8000000,Wales,Others,Swansea City,England,Premier League,Sheffield United,19000000,2019,Attack
786,Valentino Lazaro,Right-Back,23,19000000,Italy,Serie A,Inter Milan,England,Premier League,Newcastle United,1000000,2019,Defense
787,Yusuf Yazici,Attacking Midfield,22,13000000,Turkey,Others,Trabzonspor,France,Ligue 1,LOSC Lille,18000000,2019,Midfield
788,Salomón Rondón,Centre-Forward,29,15000000,England,Others,West Bromwich Albion,China,Others,Dalian Professional,18000000,2019,Attack
789,Guus Til,Attacking Midfield,21,6000000,Netherlands,Others,AZ Alkmaar,Russia,Others,Spartak Moscow,18000000,2019,Midfield
790,Guillermo Maripán,Centre-Back,25,15000000,Spain,LaLiga,Deportivo Alavés,Monaco,Ligue 1,AS Monaco,18000000,2019,Defense
791,Aurélien Tchouaméni,Defensive Midfield,20,14000000,France,Ligue 1,FC Girondins Bordeaux,Monaco,Ligue 1,AS Monaco,18000000,2019,Midfield
792,Matheus Cunha,Centre-Forward,20,13000000,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,Hertha BSC,18000000,2019,Attack
793,Martin Braithwaite,Centre-Forward,28,10000000,Spain,LaLiga,CD Leganés,Spain,LaLiga,FC Barcelona,18000000,2019,Attack
794,Andrea Petagna,Centre-Forward,24,18000000,Italy,Serie A,SPAL,Italy,Serie A,SSC Napoli,16000000,2019,Attack
795,Nahitan Nández,Central Midfield,23,18000000,Argentina,Others,CA Boca Juniors,Italy,Serie A,Cagliari Calcio,16000000,2019,Midfield
796,Quincy Promes,Left Winger,27,18000000,Spain,LaLiga,Sevilla FC,Netherlands,Others,Ajax Amsterdam,15000000,2019,Attack
797,Manuel Lazzari,Right-Back,25,18000000,Italy,Serie A,SPAL,Italy,Serie A,SS Lazio,15000000,2019,Defense
798,Leander Dendoncker,Defensive Midfield,24,18000000,Belgium,Others,RSC Anderlecht,England,Premier League,Wolverhampton Wanderers,13000000,2019,Midfield
799,Grzegorz Krychowiak,Defensive Midfield,29,18000000,France,Ligue 1,Paris Saint-Germain,Russia,Others,Lokomotiv Moscow,12000000,2019,Midfield
800,Pedro,Centre-Forward,22,18000000,Brazil,Others,Fluminense Football Club,Italy,Serie A,ACF Fiorentina,11000000,2019,Attack
801,Stefano Sensi,Central Midfield,23,18000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Inter Milan,2000000,2019,Midfield
802,João Mário,Central Midfield,26,18000000,Italy,Serie A,Inter Milan,Russia,Others,Lokomotiv Moscow,0,2019,Midfield
803,Andrea Petagna,Centre-Forward,24,18000000,Italy,Serie A,SSC Napoli,Italy,Serie A,SPAL,0,2019,Attack
804,Pedro Neto,Right Winger,19,2000000,Italy,Serie A,SS Lazio,England,Premier League,Wolverhampton Wanderers,17000000,2019,Attack
805,Daniel James,Right Winger,21,12000000,Wales,Others,Swansea City,England,Premier League,Manchester United,17000000,2019,Attack
806,Pedri,Central Midfield,16,17000000,Spain,Others,UD Las Palmas,Spain,LaLiga,FC Barcelona,17000000,2019,Midfield
807,Karl Toko Ekambi,Left Winger,27,17000000,Spain,LaLiga,Villarreal CF,France,Ligue 1,Olympique Lyon,4000000,2019,Attack
808,Alphonse Areola,Goalkeeper,26,17000000,France,Ligue 1,Paris Saint-Germain,Spain,LaLiga,Real Madrid,2000000,2019,Goalkeeper
809,Ismaël Bennacer,Defensive Midfield,21,12000000,Italy,Others,Empoli FC ,Italy,Serie A,AC Milan,17000000,2019,Midfield
810,Munas Dabbur,Centre-Forward,27,15000000,Austria,Bundesliga,Red Bull Salzburg,Spain,LaLiga,Sevilla FC,17000000,2019,Attack
811,Carlos Vinícius,Centre-Forward,24,7000000,Italy,Serie A,SSC Napoli,Portugal,Others,SL Benfica,17000000,2019,Attack
812,Benjamin Lecomte,Goalkeeper,28,17000000,France,Ligue 1,Montpellier HSC,Monaco,Ligue 1,AS Monaco,13000000,2019,Goalkeeper
813,Óliver Torres,Central Midfield,24,17000000,Portugal,Others,FC Porto,Spain,LaLiga,Sevilla FC,11000000,2019,Midfield
814,Diego Demme,Defensive Midfield,28,17000000,Germany,Bundesliga,RB Leipzig,Italy,Serie A,SSC Napoli,10000000,2019,Midfield
815,Nadiem Amiri,Central Midfield,22,17000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,Bayer 04 Leverkusen,9000000,2019,Midfield
816,Bas Dost,Centre-Forward,30,17000000,Portugal,Others,Sporting CP,Germany,Bundesliga,Eintracht Frankfurt,7000000,2019,Attack
817,Alfred Duncan,Central Midfield,26,17000000,Italy,Serie A,US Sassuolo,Italy,Serie A,ACF Fiorentina,2000000,2019,Midfield
818,Alban Lafont,Goalkeeper,20,17000000,Italy,Serie A,ACF Fiorentina,France,Ligue 1,FC Nantes,800000,2019,Goalkeeper
819,Douglas Luiz,Central Midfield,21,2000000,England,Premier League,Manchester City,England,Premier League,Aston Villa,16000000,2019,Midfield
820,Ché Adams,Centre-Forward,22,7000000,England,Others,Birmingham City,England,Premier League,Southampton FC,16000000,2019,Attack
821,Stefano Sturaro,Central Midfield,26,10000000,Italy,Serie A,Juventus FC,Italy,Serie A,Genoa CFC,16000000,2019,Midfield
822,Philip Billing,Central Midfield,23,7000000,England,Others,Huddersfield Town,England,Premier League,AFC Bournemouth,16000000,2019,Midfield
823,Arnaut Danjuma,Left Winger,22,12000000,Belgium,Others,Club Brugge KV,England,Premier League,AFC Bournemouth,16000000,2019,Attack
824,Eljif Elmas,Central Midfield,19,10000000,Turkey,Others,Fenerbahce,Italy,Serie A,SSC Napoli,16000000,2019,Midfield
825,Leandro Trossard,Left Winger,24,16000000,Belgium,Others,KRC Genk,England,Premier League,Brighton & Hove Albion,15000000,2019,Attack
826,Angeliño,Left-Back,22,16000000,Netherlands,Others,PSV Eindhoven,England,Premier League,Manchester City,12000000,2019,Defense
827,Martin Hinteregger,Centre-Back,26,16000000,Germany,Bundesliga,FC Augsburg,Germany,Bundesliga,Eintracht Frankfurt,9000000,2019,Defense
828,Jean-Kévin Augustin,Centre-Forward,22,16000000,Germany,Bundesliga,RB Leipzig,Monaco,Ligue 1,AS Monaco,4000000,2019,Attack
829,Angeliño,Left-Back,23,16000000,England,Premier League,Manchester City,Germany,Bundesliga,RB Leipzig,2000000,2019,Defense
830,Mattia Caldara,Centre-Back,25,16000000,Italy,Serie A,AC Milan,Italy,Serie A,Atalanta BC,900000,2019,Defense
831,Moussa Djenepo,Left Winger,21,12000000,Belgium,Others,Standard Liège,England,Premier League,Southampton FC,15000000,2019,Attack
832,Neal Maupay,Centre-Forward,22,12000000,England,Others,Brentford FC,England,Premier League,Brighton & Hove Albion,15000000,2019,Attack
833,Matt Targett,Left-Back,23,7000000,England,Premier League,Southampton FC,England,Premier League,Aston Villa,15000000,2019,Defense
834,Darwin Núñez,Centre-Forward,20,750000,Uruguay,Others,CA Peñarol,Spain,Others,UD Almería,15000000,2019,Attack
835,Theo Hernández,Left-Back,21,15000000,Spain,LaLiga,Real Madrid,Italy,Serie A,AC Milan,22000000,2019,Defense
836,Moussa Diaby,Right Winger,19,12000000,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,Bayer 04 Leverkusen,15000000,2019,Attack
837,Ozan Kabak,Centre-Back,19,15000000,Germany,Others,VfB Stuttgart,Germany,Bundesliga,FC Schalke 04,15000000,2019,Defense
838,Youssouf Fofana,Central Midfield,21,6000000,France,Ligue 1,RC Strasbourg Alsace,Monaco,Ligue 1,AS Monaco,15000000,2019,Midfield
839,M'Baye Niang,Centre-Forward,24,12000000,Italy,Serie A,Torino FC,France,Ligue 1,Stade Rennais FC,15000000,2019,Attack
840,Riccardo Orsolini,Right Winger,22,15000000,Italy,Serie A,Juventus FC,Italy,Serie A,Bologna FC 1909,15000000,2019,Attack
841,Lucas Ocampos,Left Winger,24,15000000,France,Ligue 1,Olympique Marseille,Spain,LaLiga,Sevilla FC,15000000,2019,Attack
842,Edson Álvarez,Defensive Midfield,21,7000000,Mexico,Others,CF América,Netherlands,Others,Ajax Amsterdam,15000000,2019,Midfield
843,Keylor Navas,Goalkeeper,32,10000000,Spain,LaLiga,Real Madrid,France,Ligue 1,Paris Saint-Germain,15000000,2019,Goalkeeper
844,Darío Benedetto,Centre-Forward,29,15000000,Argentina,Others,CA Boca Juniors,France,Ligue 1,Olympique Marseille,14000000,2019,Attack
845,Valentin Rongier,Central Midfield,24,15000000,France,Ligue 1,FC Nantes,France,Ligue 1,Olympique Marseille,13000000,2019,Midfield
846,Xaver Schlager,Central Midfield,21,15000000,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,VfL Wolfsburg,12000000,2019,Midfield
847,Ionut Radu,Goalkeeper,22,15000000,Italy,Serie A,Genoa CFC,Italy,Serie A,Inter Milan,10000000,2019,Goalkeeper
848,Fabian Delph,Central Midfield,29,15000000,England,Premier League,Manchester City,England,Premier League,Everton FC,9000000,2019,Midfield
849,Ionut Radu,Goalkeeper,22,15000000,Italy,Serie A,Inter Milan,Italy,Serie A,Genoa CFC,8000000,2019,Goalkeeper
850,Merih Demiral,Centre-Back,21,15000000,Turkey,Others,Alanyaspor,Italy,Serie A,US Sassuolo,8000000,2019,Defense
851,Gedson Fernandes,Central Midfield,21,15000000,Portugal,Others,SL Benfica,England,Premier League,Tottenham Hotspur,4000000,2019,Midfield
852,Patrik Schick,Centre-Forward,23,15000000,Italy,Serie A,AS Roma,Germany,Bundesliga,RB Leipzig,3000000,2019,Attack
853,Djibril Sidibé,Right-Back,27,15000000,Monaco,Ligue 1,AS Monaco,England,Premier League,Everton FC,2000000,2019,Defense
854,Martin Ødegaard,Attacking Midfield,20,15000000,Spain,LaLiga,Real Madrid,Spain,LaLiga,Real Sociedad,2000000,2019,Midfield
855,Cristian Pavón,Left Winger,23,15000000,Argentina,Others,CA Boca Juniors,United States,Others,Los Angeles Galaxy,1000000,2019,Attack
856,Rafinha,Attacking Midfield,26,15000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Celta de Vigo,1000000,2019,Midfield
857,Mario Lemina,Defensive Midfield,26,15000000,England,Premier League,Southampton FC,Turkey,Others,Galatasaray,1000000,2019,Midfield
858,Pedro,Centre-Forward,22,15000000,Italy,Serie A,ACF Fiorentina,Brazil,Others,CR Flamengo,1000000,2019,Attack
859,Daniel Sturridge,Centre-Forward,29,15000000,England,Premier League,Liverpool FC,Turkey,Others,Trabzonspor,0,2019,Attack
860,Hélder Costa,Right Winger,25,15000000,England,Premier League,Wolverhampton Wanderers,England,Others,Leeds United,0,2019,Attack
861,Sergio Reguilón,Left-Back,22,15000000,Spain,LaLiga,Real Madrid,Spain,LaLiga,Sevilla FC,0,2019,Defense
862,Ionut Radu,Goalkeeper,22,15000000,Italy,Serie A,Inter Milan,Italy,Serie A,Genoa CFC,0,2019,Goalkeeper
863,Cristian Romero,Centre-Back,21,15000000,Italy,Serie A,Juventus FC,Italy,Serie A,Genoa CFC,0,2019,Defense
864,Roberto Inglese,Centre-Forward,27,15000000,Italy,Serie A,SSC Napoli,Italy,Serie A,Parma Calcio 1913,0,2019,Attack
865,Davide Zappacosta,Right-Back,27,15000000,England,Premier League,Chelsea FC,Italy,Serie A,AS Roma,0,2019,Defense
866,Mohamed Elyounoussi,Left Winger,25,15000000,England,Premier League,Southampton FC,Scotland,Others,Celtic FC,0,2019,Attack
867,Cenk Tosun,Centre-Forward,28,15000000,England,Premier League,Everton FC,England,Premier League,Crystal Palace,0,2019,Attack
868,Ionut Radu,Goalkeeper,22,15000000,Italy,Serie A,Inter Milan,Italy,Serie A,Parma Calcio 1913,0,2019,Goalkeeper
869,Lloyd Kelly,Centre-Back,20,9000000,England,Others,Bristol City,England,Premier League,AFC Bournemouth,14000000,2019,Defense
870,Jakub Jankto,Left Midfield,23,12000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,UC Sampdoria,14000000,2019,Midfield
871,Amir Rrahmani,Centre-Back,25,6000000,Italy,Serie A,Hellas Verona,Italy,Serie A,SSC Napoli,14000000,2019,Defense
872,Manuel Locatelli,Defensive Midfield,21,12000000,Italy,Serie A,AC Milan,Italy,Serie A,US Sassuolo,14000000,2019,Midfield
873,Joan Jordán,Central Midfield,24,12000000,Spain,LaLiga,SD Eibar,Spain,LaLiga,Sevilla FC,14000000,2019,Midfield
874,Rémy Cabella,Attacking Midfield,29,14000000,France,Ligue 1,AS Saint-Étienne,Russia,Others,FK Krasnodar,12000000,2019,Midfield
875,Breel Embolo,Centre-Forward,22,14000000,Germany,Bundesliga,FC Schalke 04,Germany,Bundesliga,Borussia Mönchengladbach,11000000,2019,Attack
