,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year,General_Position
417,Emiliano Rigoni,Right Winger,25,7000000,Russia,Others,Zenit St. Petersburg,Italy,Serie A,Atalanta BC,1000000,2018,Attack
418,Alberto Cerri,Centre-Forward,22,7000000,Italy,Serie A,Juventus FC,Italy,Serie A,Cagliari Calcio,1000000,2018,Attack
419,Stefano Sturaro,Central Midfield,25,7000000,Italy,Serie A,Juventus FC,Portugal,Others,Sporting CP,0,2018,Midfield
420,Maxime Gonalons,Defensive Midfield,29,7000000,Italy,Serie A,AS Roma,Spain,LaLiga,Sevilla FC,0,2018,Midfield
421,Rubén Pérez,Defensive Midfield,29,7000000,Spain,Others,Granada CF,Spain,LaLiga,CD Leganés,0,2018,Midfield
422,Patrick Roberts,Right Winger,21,7000000,England,Premier League,Manchester City,Spain,LaLiga,Girona FC,0,2018,Attack
423,Federico Di Francesco,Left Winger,24,3000000,Italy,Serie A,Bologna FC 1909,Italy,Serie A,US Sassuolo,7000000,2018,Attack
424,Sam Johnstone,Goalkeeper,25,2000000,England,Premier League,Manchester United,England,Others,West Bromwich Albion,7000000,2018,Goalkeeper
425,Ryan Woods,Defensive Midfield,25,5000000,England,Others,Brentford FC,England,Others,Stoke City,7000000,2018,Midfield
426,Peter Etebo,Central Midfield,22,1000000,Portugal,Others,CD Feirense,England,Others,Stoke City,7000000,2018,Midfield
427,Pelé,Defensive Midfield,26,4000000,Portugal,Others,Rio Ave FC,Monaco,Ligue 1,AS Monaco,7000000,2018,Midfield
428,Nicolás Castillo,Centre-Forward,25,6000000,Portugal,Others,SL Benfica,Mexico,Others,CF América,7000000,2018,Attack
429,Ronaldo Vieira,Central Midfield,20,5000000,England,Others,Leeds United,Italy,Serie A,UC Sampdoria,7000000,2018,Midfield
430,Néstor Araújo,Centre-Back,26,2000000,Mexico,Others,Santos Laguna,Spain,LaLiga,Celta de Vigo,7000000,2018,Defense
431,Diego Falcinelli,Centre-Forward,27,3000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Bologna FC 1909,7000000,2018,Attack
432,Daniel Podence,Left Winger,22,4000000,Portugal,Others,Sporting CP,Greece,Others,Olympiacos Piraeus,7000000,2018,Attack
433,Romarinho,Centre-Forward,27,4000000,United Arab Emirates,Others,Al-Jazira (Abu Dhabi),Saudi Arabia,Others,Al-Ittihad Club (Jeddah),7000000,2018,Attack
434,Ayrton Lucas,Left-Back,21,1000000,Brazil,Others,Fluminense Football Club,Russia,Others,Spartak Moscow,7000000,2018,Defense
435,Sékou Sanogo,Defensive Midfield,29,5000000,Switzerland,Others,BSC Young Boys,Saudi Arabia,Others,Al-Ittihad Club (Jeddah),7000000,2018,Midfield
436,Wilson Manafá,Right-Back,24,1000000,Portugal,Others,Portimonense SC,Portugal,Others,FC Porto,7000000,2018,Defense
437,Jacob Rasmussen,Centre-Back,21,900000,Italy,Serie A,Empoli FC ,Italy,Serie A,ACF Fiorentina,7000000,2018,Defense
438,Yann Karamoh,Left Winger,19,7000000,France,Ligue 1,SM Caen,Italy,Serie A,Inter Milan,6000000,2018,Attack
439,Ramadan Sobhi,Left Winger,21,7000000,England,Others,Stoke City,England,Premier League,Huddersfield Town,6000000,2018,Attack
440,Roque Mesa,Central Midfield,29,7000000,Wales,Others,Swansea City,Spain,LaLiga,Sevilla FC,6000000,2018,Midfield
441,Lucas Castro,Attacking Midfield,29,7000000,Italy,Serie A,Chievo Verona,Italy,Serie A,Cagliari Calcio,5000000,2018,Midfield
442,Éder,Centre-Forward,31,7000000,Italy,Serie A,Inter Milan,China,Others,Jiangsu Suning,5000000,2018,Attack
443,Fabio Borini,Left Winger,27,7000000,England,Others,Sunderland AFC,Italy,Serie A,AC Milan,5000000,2018,Attack
444,Carlos Salcedo,Centre-Back,24,7000000,Mexico,Others,Deportivo Guadalajara,Germany,Bundesliga,Eintracht Frankfurt,5000000,2018,Defense
445,Adam Masina,Left-Back,24,7000000,Italy,Serie A,Bologna FC 1909,England,Premier League,Watford FC,5000000,2018,Defense
446,Frédéric Guilbert,Right-Back,24,7000000,France,Ligue 1,SM Caen,England,Others,Aston Villa,5000000,2018,Defense
447,Max Gradel,Left Winger,30,7000000,England,Premier League,AFC Bournemouth,France,Ligue 1,FC Toulouse,2000000,2018,Attack
448,Naïm Sliti,Left Winger,25,7000000,France,Ligue 1,LOSC Lille,France,Ligue 1,Dijon FCO,2000000,2018,Attack
449,Stefano Sturaro,Central Midfield,25,7000000,Italy,Serie A,Juventus FC,Italy,Serie A,Genoa CFC,1000000,2018,Midfield
450,Antonio Barreca,Left-Back,23,7000000,Monaco,Ligue 1,AS Monaco,England,Premier League,Newcastle United,1000000,2018,Defense
451,Ramadan Sobhi,Left Winger,21,7000000,England,Premier League,Huddersfield Town,Egypt,Premier League,El Ahly Cairo,800000,2018,Attack
452,Kevin Mirallas,Attacking Midfield,30,7000000,England,Premier League,Everton FC,Italy,Serie A,ACF Fiorentina,750000,2018,Midfield
453,Antonio Sanabria,Centre-Forward,22,7000000,Spain,LaLiga,Real Betis Balompié,Italy,Serie A,Genoa CFC,550000,2018,Attack
454,Reece Oxford,Centre-Back,20,7000000,England,Premier League,West Ham United,Germany,Bundesliga,FC Augsburg,500000,2018,Defense
455,Jacob Murphy,Right Winger,23,7000000,England,Premier League,Newcastle United,England,Others,West Bromwich Albion,500000,2018,Attack
456,Sung-yueng Ki,Defensive Midfield,29,7000000,Wales,Others,Swansea City,England,Premier League,Newcastle United,0,2018,Midfield
457,Abel Hernández,Centre-Forward,27,7000000,England,Others,Hull City,Russia,Others,CSKA Moscow,0,2018,Attack
458,Daniel Didavi,Attacking Midfield,28,7000000,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,VfB Stuttgart,0,2018,Midfield
459,Kevin-Prince Boateng,Attacking Midfield,31,7000000,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,US Sassuolo,0,2018,Midfield
460,Edmílson Junior,Left Winger,23,7000000,Belgium,Others,Standard Liège,Qatar,Others,Al-Duhail SC,0,2018,Attack
461,Lamine Koné,Centre-Back,29,7000000,England,Others,Sunderland AFC,France,Ligue 1,RC Strasbourg Alsace,0,2018,Defense
462,Harry Arter,Central Midfield,28,7000000,England,Premier League,AFC Bournemouth,Wales,Premier League,Cardiff City,0,2018,Midfield
463,Timothy Fosu-Mensah,Right-Back,20,7000000,England,Premier League,Manchester United,England,Premier League,Fulham FC,0,2018,Defense
464,Alberto Grassi,Central Midfield,23,7000000,Italy,Serie A,SSC Napoli,Italy,Serie A,Parma Calcio 1913,0,2018,Midfield
465,Gervinho,Left Winger,31,7000000,China,Others,Hebei China Fortune,Italy,Serie A,Parma Calcio 1913,0,2018,Attack
466,Kara Mbodj,Centre-Back,28,7000000,Belgium,Others,RSC Anderlecht,France,Ligue 1,FC Nantes,0,2018,Defense
467,Yann Karamoh,Left Winger,20,7000000,Italy,Serie A,Inter Milan,France,Ligue 1,FC Girondins Bordeaux,0,2018,Attack
468,Claudio Marchisio,Central Midfield,32,7000000,Italy,Serie A,Juventus FC,Russia,Others,Zenit St. Petersburg,0,2018,Midfield
469,Mason Holgate,Centre-Back,22,7000000,England,Premier League,Everton FC,England,Others,West Bromwich Albion,0,2018,Defense
470,Roberto Soriano,Attacking Midfield,27,7000000,Spain,LaLiga,Villarreal CF,Italy,Serie A,Bologna FC 1909,0,2018,Midfield
471,Nicola Sansone,Left Winger,27,7000000,Spain,LaLiga,Villarreal CF,Italy,Serie A,Bologna FC 1909,0,2018,Attack
472,Oumar Niasse,Centre-Forward,28,7000000,England,Premier League,Everton FC,Wales,Premier League,Cardiff City,0,2018,Attack
473,Sérgio Oliveira,Central Midfield,26,7000000,Portugal,Others,FC Porto,Greece,Others,PAOK Thessaloniki,0,2018,Midfield
474,Georges-Kevin N'Koudou,Left Winger,23,7000000,England,Premier League,Tottenham Hotspur,Monaco,Ligue 1,AS Monaco,0,2018,Attack
475,Wilfried Bony,Centre-Forward,30,7000000,Wales,Others,Swansea City,Qatar,Others,Al-Arabi SC,0,2018,Attack
476,Abel Hernández,Centre-Forward,27,7000000,England,Others,Hull City,Russia,Others,CSKA Moscow,0,2018,Attack
477,Kevin-Prince Boateng,Attacking Midfield,31,7000000,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,US Sassuolo,0,2018,Midfield
478,Edmílson Junior,Left Winger,23,7000000,Belgium,Others,Standard Liège,Qatar,Others,Al-Duhail SC,0,2018,Attack
479,Lewis Grabban,Centre-Forward,30,3000000,England,Premier League,AFC Bournemouth,England,Others,Nottingham Forest,6000000,2018,Attack
480,Nicolò Zaniolo,Attacking Midfield,18,1000000,Italy,Serie A,Inter Milan,Italy,Serie A,AS Roma,6000000,2018,Midfield
481,Joe Bryan,Left-Back,24,5000000,England,Others,Bristol City,England,Premier League,Fulham FC,6000000,2018,Defense
482,Elías Hernández,Right Winger,30,3000000,Mexico,Others,Club León FC,Mexico,Others,CD Cruz Azul,6000000,2018,Attack
483,Maycon,Central Midfield,20,5000000,Brazil,Others,Sport Club Corinthians Paulista,Ukraine,Others,Shakhtar Donetsk,6000000,2018,Midfield
484,Raphinha,Right Winger,21,6000000,Portugal,Others,Vitória Guimarães SC,Portugal,Others,Sporting CP,6000000,2018,Attack
485,Vladyslav Supryaga,Centre-Forward,18,300000,Ukraine,Others,SK Dnipro-1,Ukraine,Others,Dynamo Kyiv,6000000,2018,Attack
486,Federico Santander,Centre-Forward,27,2000000,Denmark,Others,FC Copenhagen,Italy,Serie A,Bologna FC 1909,6000000,2018,Attack
487,Lovre Kalinic,Goalkeeper,28,6000000,Belgium,Others,KAA Gent,England,Others,Aston Villa,6000000,2018,Goalkeeper
488,Dawid Kownacki,Centre-Forward,21,6000000,Italy,Serie A,UC Sampdoria,Germany,Bundesliga,Fortuna Düsseldorf,1000000,2018,Attack
489,Jordy Clasie,Defensive Midfield,27,6000000,England,Premier League,Southampton FC,Netherlands,Others,Feyenoord Rotterdam,0,2018,Midfield
490,Pontus Wernbloom,Central Midfield,32,6000000,Russia,Others,CSKA Moscow,Greece,Others,PAOK Thessaloniki,0,2018,Midfield
491,Juraj Kucka,Central Midfield,31,2000000,Turkey,Others,Trabzonspor,Italy,Serie A,Parma Calcio 1913,6000000,2018,Midfield
492,Raúl Ruidíaz,Centre-Forward,27,5000000,Mexico,Others,Monarcas Morelia,United States,Others,Seattle Sounders FC,6000000,2018,Attack
493,Christian Kouamé,Centre-Forward,20,2000000,Italy,Others,AS Cittadella,Italy,Serie A,Genoa CFC,6000000,2018,Attack
494,Ante Palaversa,Central Midfield,18,550000,Croatia,Others,HNK Hajduk Split,England,Premier League,Manchester City,6000000,2018,Midfield
495,Raphael Dwamena,Centre-Forward,22,6000000,Switzerland,Others,FC Zürich,Spain,LaLiga,Levante UD,6000000,2018,Attack
496,Andreaw Gravillon,Centre-Back,20,5000000,Italy,Others,Delfino Pescara 1936,Italy,Serie A,Inter Milan,6000000,2018,Defense
497,Diego Valdés,Attacking Midfield,24,3000000,Mexico,Others,Monarcas Morelia,Mexico,Others,Santos Laguna,6000000,2018,Midfield
498,Hamza Mendyl,Left-Back,20,600000,France,Ligue 1,LOSC Lille,Germany,Bundesliga,FC Schalke 04,6000000,2018,Defense
499,Moussa Niakhaté,Centre-Back,22,5000000,France,Others,FC Metz,Germany,Bundesliga,1.FSV Mainz 05,6000000,2018,Defense
500,Zakaria Labyad,Attacking Midfield,25,6000000,Netherlands,Others,FC Utrecht,Netherlands,Others,Ajax Amsterdam,6000000,2018,Midfield
501,Uros Spajic,Centre-Back,25,5000000,Belgium,Others,RSC Anderlecht,Russia,Others,FK Krasnodar,6000000,2018,Defense
502,Florin Andone,Centre-Forward,25,6000000,Spain,Others,Deportivo de La Coruña,England,Premier League,Brighton & Hove Albion,6000000,2018,Attack
503,Walace,Defensive Midfield,23,4000000,Germany,Others,Hamburger SV,Germany,Bundesliga,Hannover 96,6000000,2018,Midfield
504,William Bianda,Centre-Back,18,2000000,France,Others,RC Lens,Italy,Others,Roma U19,6000000,2018,Defense
505,Federico Valietti,Right-Back,19,500000,Italy,Serie A,Inter Milan,Italy,Serie A,Genoa CFC,6000000,2018,Defense
506,Tomas Vaclik,Goalkeeper,29,4000000,Switzerland,Others,FC Basel 1893,Spain,LaLiga,Sevilla FC,6000000,2018,Goalkeeper
507,Moussa Niakhaté,Centre-Back,22,5000000,France,Others,FC Metz,Germany,Bundesliga,1.FSV Mainz 05,6000000,2018,Defense
508,Ronaël Pierre-Gabriel,Right-Back,20,4000000,France,Ligue 1,AS Saint-Étienne,Monaco,Ligue 1,AS Monaco,6000000,2018,Defense
509,Ayoub El Kaabi,Centre-Forward,25,1000000,Morocco,Others,Renaissance de Berkane,China,Others,Hebei China Fortune,6000000,2018,Attack
510,Igor Coronado,Attacking Midfield,25,2000000,Italy,Others,US Palermo,United Arab Emirates,Others,Sharjah FC,6000000,2018,Midfield
511,Diego Rolán,Centre-Forward,25,3000000,France,Ligue 1,FC Girondins Bordeaux,Spain,Others,Deportivo de La Coruña,6000000,2018,Attack
512,Fabri,Goalkeeper,30,4000000,Turkey,Others,Besiktas JK,England,Premier League,Fulham FC,6000000,2018,Goalkeeper
513,Hamza Mendyl,Left-Back,20,600000,France,Ligue 1,LOSC Lille,Germany,Bundesliga,FC Schalke 04,6000000,2018,Defense
514,Youssef En-Nesyri,Centre-Forward,21,6000000,Spain,Others,Málaga CF,Spain,LaLiga,CD Leganés,6000000,2018,Attack
515,Bafétimbi Gomis,Centre-Forward,33,4000000,Turkey,Others,Galatasaray,Saudi Arabia,Others,Al-Hilal Saudi FC,6000000,2018,Attack
516,Abderrazak Hamdallah,Centre-Forward,27,2000000,Qatar,Others,Al-Rayyan SC,Saudi Arabia,Others,Al-Nassr FC,6000000,2018,Attack
517,Pablo,Centre-Forward,26,2000000,Brazil,Others,Club Athletico Paranaense,Brazil,Others,São Paulo Futebol Clube,6000000,2018,Attack
518,Manor Solomon,Left Winger,19,1000000,Israel,Others,Maccabi Petah Tikva,Ukraine,Others,Shakhtar Donetsk,6000000,2018,Attack
519,Cristian Benavente,Attacking Midfield,24,5000000,Belgium,Others,RSC Charleroi,Egypt,Premier League,Pyramids FC,6000000,2018,Midfield
520,Emerson Royal,Right-Back,20,50000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Real Betis Balompié,6000000,2018,Defense
521,Léo Baptistão,Second Striker,26,6000000,Spain,LaLiga,RCD Espanyol Barcelona,China,Others,Wuhan Zall,5000000,2018,Attack
522,André Horta,Central Midfield,21,6000000,Portugal,Others,SL Benfica,United States,Others,Los Angeles FC,5000000,2018,Midfield
523,Rodriguinho,Attacking Midfield,30,6000000,Brazil,Others,Sport Club Corinthians Paulista,Egypt,Premier League,Pyramids FC,5000000,2018,Midfield
524,Christophe Hérelle,Centre-Back,25,6000000,France,Others,ESTAC Troyes,France,Ligue 1,OGC Nice,5000000,2018,Defense
525,Firmin Mubele,Centre-Forward,24,6000000,France,Ligue 1,Stade Rennais FC,France,Ligue 1,FC Toulouse,5000000,2018,Attack
526,Chancel Mbemba,Centre-Back,23,6000000,England,Premier League,Newcastle United,Portugal,Others,FC Porto,4000000,2018,Defense
527,Dimitri Oberlin,Centre-Forward,20,6000000,Austria,Bundesliga,Red Bull Salzburg,Switzerland,Others,FC Basel 1893,4000000,2018,Attack
528,André Carrillo,Right Winger,27,6000000,Portugal,Others,SL Benfica,Saudi Arabia,Others,Al-Hilal Saudi FC,4000000,2018,Attack
529,Arbër Zeneli,Left Winger,23,6000000,Netherlands,Others,SC Heerenveen,France,Ligue 1,Stade Reims,4000000,2018,Attack
530,Moses Simon,Left Winger,23,6000000,Belgium,Others,KAA Gent,Spain,LaLiga,Levante UD,3000000,2018,Attack
531,Fran Sol,Centre-Forward,26,6000000,Netherlands,Others,Willem II Tilburg,Ukraine,Others,Dynamo Kyiv,3000000,2018,Attack
532,Miha Zajc,Central Midfield,24,6000000,Italy,Serie A,Empoli FC ,Turkey,Others,Fenerbahce,3000000,2018,Midfield
533,Christian Luyindama,Centre-Back,25,6000000,Belgium,Others,Standard Liège,Turkey,Others,Galatasaray,3000000,2018,Defense
534,Sebastian Giovinco,Second Striker,32,6000000,Canada,Others,Toronto FC,Saudi Arabia,Others,Al-Hilal Saudi FC,2000000,2018,Attack
535,Facundo Ferreyra,Centre-Forward,27,6000000,Portugal,Others,SL Benfica,Spain,LaLiga,RCD Espanyol Barcelona,2000000,2018,Attack
536,Gaël Kakuta,Attacking Midfield,27,6000000,China,Others,Hebei China Fortune,Spain,LaLiga,Rayo Vallecano,2000000,2018,Midfield
537,Loïc Rémy,Centre-Forward,31,6000000,Spain,Others,UD Las Palmas,France,Ligue 1,LOSC Lille,1000000,2018,Attack
538,Raúl de Tomás,Centre-Forward,23,6000000,Spain,LaLiga,Real Madrid,Spain,LaLiga,Rayo Vallecano,1000000,2018,Attack
539,Filip Kostić,Left Midfield,25,6000000,Germany,Others,Hamburger SV,Germany,Bundesliga,Eintracht Frankfurt,600000,2018,Midfield
540,Vincenzo Grifo,Left Winger,25,6000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,SC Freiburg,600000,2018,Attack
541,Landry Dimata,Centre-Forward,20,6000000,Germany,Bundesliga,VfL Wolfsburg,Belgium,Others,RSC Anderlecht,500000,2018,Attack
542,Alexander Sörloth,Centre-Forward,23,6000000,England,Premier League,Crystal Palace,Belgium,Others,KAA Gent,350000,2018,Attack
543,Marco Sportiello,Goalkeeper,26,6000000,Italy,Serie A,Atalanta BC,Italy,Serie A,Frosinone Calcio,300000,2018,Goalkeeper
544,Jonathas,Centre-Forward,29,6000000,Germany,Bundesliga,Hannover 96,Brazil,Others,Sport Club Corinthians Paulista,200000,2018,Attack
545,Jordan Rhodes,Centre-Forward,28,6000000,England,Others,Sheffield Wednesday,England,Others,Norwich City,0,2018,Attack
546,Derlis González,Second Striker,24,6000000,Ukraine,Others,Dynamo Kyiv,Brazil,Others,Santos FC,0,2018,Attack
547,Rafael Leão,Left Winger,19,6000000,Portugal,Others,Sporting CP,France,Ligue 1,LOSC Lille,0,2018,Attack
548,Víctor Camarasa,Central Midfield,24,6000000,Spain,LaLiga,Real Betis Balompié,Wales,Premier League,Cardiff City,0,2018,Midfield
549,Luciano Vietto,Centre-Forward,24,6000000,Spain,LaLiga,Atlético de Madrid,England,Premier League,Fulham FC,0,2018,Attack
550,Björn Engels,Centre-Back,23,6000000,Greece,Others,Olympiacos Piraeus,France,Ligue 1,Stade Reims,0,2018,Defense
551,Jonathan Calleri,Centre-Forward,24,6000000,Uruguay,Others,Club Deportivo Maldonado,Spain,LaLiga,Deportivo Alavés,0,2018,Attack
552,Giannelli Imbula,Defensive Midfield,25,6000000,England,Others,Stoke City,Spain,LaLiga,Rayo Vallecano,0,2018,Midfield
553,Rúben Vezo,Centre-Back,24,6000000,Spain,LaLiga,Valencia CF,Spain,LaLiga,Levante UD,0,2018,Defense
554,Lukas Lerager,Central Midfield,25,6000000,France,Ligue 1,FC Girondins Bordeaux,Italy,Serie A,Genoa CFC,0,2018,Midfield
555,Pelé,Defensive Midfield,27,6000000,Monaco,Ligue 1,AS Monaco,England,Others,Nottingham Forest,0,2018,Midfield
556,Ryad Boudebouz,Attacking Midfield,28,6000000,Spain,LaLiga,Real Betis Balompié,Spain,LaLiga,Celta de Vigo,0,2018,Midfield
557,Erik Pieters,Centre-Back,30,6000000,England,Others,Stoke City,France,Ligue 1,Amiens SC,0,2018,Defense
558,Milton Caraglio,Centre-Forward,29,2000000,Mexico,Others,Atlas Guadalajara,Mexico,Others,CD Cruz Azul,5000000,2018,Attack
559,Filip Bradaric,Defensive Midfield,27,5000000,Croatia,Others,HNK Rijeka,Italy,Serie A,Cagliari Calcio,5000000,2018,Midfield
560,Jens Odgaard,Centre-Forward,19,800000,Italy,Serie A,Inter Milan,Italy,Serie A,US Sassuolo,5000000,2018,Attack
561,Bremer,Centre-Back,21,1000000,Brazil,Others,Clube Atlético Mineiro,Italy,Serie A,Torino FC,5000000,2018,Defense
562,Michael Lang,Right-Back,27,5000000,Switzerland,Others,FC Basel 1893,Germany,Bundesliga,Borussia Mönchengladbach,2000000,2018,Defense
563,Paddy McNair,Centre-Back,23,3000000,England,Others,Sunderland AFC,England,Others,Middlesbrough FC,5000000,2018,Defense
564,James McClean,Left Midfield,29,3000000,England,Others,West Bromwich Albion,England,Others,Stoke City,5000000,2018,Midfield
565,Martyn Waghorn,Centre-Forward,28,1000000,England,Others,Ipswich Town,England,Others,Derby County,5000000,2018,Attack
566,Ishak Belfodil,Centre-Forward,26,5000000,Belgium,Others,Standard Liège,Germany,Bundesliga,TSG 1899 Hoffenheim,5000000,2018,Attack
567,Angeliño,Left-Back,21,3000000,England,Others,Manchester City U23,Netherlands,Others,PSV Eindhoven,5000000,2018,Defense
568,Fernando,Centre-Forward,19,5000000,Brazil,Others,Sociedade Esportiva Palmeiras,Ukraine,Others,Shakhtar Donetsk,5000000,2018,Attack
569,Denzel Dumfries,Right Midfield,22,4000000,Netherlands,Others,SC Heerenveen,Netherlands,Others,PSV Eindhoven,5000000,2018,Midfield
570,Evan Ndicka,Centre-Back,18,400000,France,Others,AJ Auxerre,Germany,Bundesliga,Eintracht Frankfurt,5000000,2018,Defense
571,Sergi Gómez,Centre-Back,26,5000000,Spain,LaLiga,Celta de Vigo,Spain,LaLiga,Sevilla FC,5000000,2018,Defense
572,Carlos Eduardo,Right Winger,22,2000000,Egypt,Premier League,Pyramids FC,Brazil,Others,Sociedade Esportiva Palmeiras,5000000,2018,Attack
573,Bruno Henrique,Left Winger,28,4000000,Brazil,Others,Santos FC,Brazil,Others,CR Flamengo,5000000,2018,Attack
574,Nico Yennaris,Defensive Midfield,25,3000000,England,Others,Brentford FC,China,Others,Beijing Guoan,5000000,2018,Midfield
575,Yacine Adli,Attacking Midfield,18,4000000,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,FC Girondins Bordeaux,5000000,2018,Midfield
576,Emre Akbaba,Attacking Midfield,25,5000000,Turkey,Others,Alanyaspor,Turkey,Others,Galatasaray,4000000,2018,Midfield
577,Germán Conti,Centre-Back,24,5000000,Argentina,Others,CA Colon,Portugal,Others,SL Benfica,3000000,2018,Defense
578,Yassin Ayoub,Central Midfield,24,5000000,Netherlands,Others,FC Utrecht,Netherlands,Others,Feyenoord Rotterdam,0,2018,Midfield
579,Damien Da Silva,Centre-Back,30,5000000,France,Ligue 1,SM Caen,France,Ligue 1,Stade Rennais FC,0,2018,Defense
580,Lewis Baker,Central Midfield,23,5000000,England,Premier League,Chelsea FC,England,Others,Leeds United,0,2018,Midfield
581,Dmitri Poloz,Left Winger,27,5000000,Russia,Others,Zenit St. Petersburg,Russia,Others,Rubin Kazan,0,2018,Attack
582,Lewis Baker,Central Midfield,23,5000000,England,Premier League,Chelsea FC,England,Others,Reading FC,0,2018,Midfield
583,Jasmin Kurtic,Central Midfield,29,5000000,Italy,Serie A,Atalanta BC,Italy,Serie A,SPAL,5000000,2018,Midfield
584,Chris Richards,Centre-Back,18,50000,United States,Others,FC Dallas,Germany,Others,FC Bayern Munich U19 ,5000000,2018,Defense
585,Cecilio Domínguez,Left Winger,24,3000000,Mexico,Others,CF América,Argentina,Others,CA Independiente,5000000,2018,Attack
586,Marcão,Centre-Forward,24,600000,"Korea, South",Others,Gyeongnam FC,China,Others,Hebei China Fortune,5000000,2018,Attack
587,Alexis Vega,Left Winger,21,700000,Mexico,Others,Deportivo Toluca,Mexico,Others,Deportivo Guadalajara,5000000,2018,Attack
588,Min-jae Kim,Centre-Back,22,1000000,"Korea, South",Others,Jeonbuk Hyundai Motors,China,Others,Beijing Guoan,5000000,2018,Defense
589,Nicolás Benedetti,Attacking Midfield,21,2000000,Colombia,Others,Deportivo Cali,Mexico,Others,CF América,5000000,2018,Midfield
590,Majeed Waris,Second Striker,26,2000000,France,Others,FC Lorient,Portugal,Others,FC Porto,5000000,2018,Attack
591,Henrique Dourado,Centre-Forward,29,3000000,Brazil,Others,CR Flamengo,China,Others,Henan Jianye,5000000,2018,Attack
592,Jesús Gallardo,Left-Back,23,3000000,Mexico,Others,UNAM Pumas,Mexico,Others,CF Monterrey,5000000,2018,Defense
593,Yimmi Chará,Right Winger,27,2000000,Colombia,Others,Junior FC,Brazil,Others,Clube Atlético Mineiro,5000000,2018,Attack
594,Carlos Izquierdoz,Centre-Back,29,3000000,Mexico,Others,Santos Laguna,Argentina,Others,CA Boca Juniors,5000000,2018,Defense
595,Pietro Iemmello,Centre-Forward,26,2000000,Italy,Serie A,US Sassuolo,Italy,Others,Benevento Calcio,5000000,2018,Attack
596,Felipe Vizeu,Centre-Forward,21,1000000,Brazil,Others,CR Flamengo,Italy,Serie A,Udinese Calcio,5000000,2018,Attack
597,Florent Hadergjonaj,Right-Back,23,5000000,Germany,Others,FC Ingolstadt 04,England,Premier League,Huddersfield Town,5000000,2018,Defense
598,Luca Waldschmidt,Second Striker,22,2000000,Germany,Others,Hamburger SV,Germany,Bundesliga,SC Freiburg,5000000,2018,Attack
599,Fabrício,Centre-Forward,28,4000000,Portugal,Others,Portimonense SC,Japan,Others,Urawa Red Diamonds,5000000,2018,Attack
600,Sidcley,Left-Back,25,4000000,Brazil,Others,Club Athletico Paranaense,Ukraine,Others,Dynamo Kyiv,5000000,2018,Defense
601,Felipe Vizeu,Centre-Forward,21,1000000,Brazil,Others,CR Flamengo,Italy,Serie A,Udinese Calcio,5000000,2018,Attack
602,Giangiacomo Magnani,Centre-Back,22,600000,Italy,Others,AC Perugia Calcio,Italy,Serie A,Juventus FC,5000000,2018,Defense
603,Tchê Tchê,Central Midfield,26,5000000,Ukraine,Others,Dynamo Kyiv,Brazil,Others,São Paulo Futebol Clube,5000000,2018,Midfield
604,Rodriguinho,Attacking Midfield,30,5000000,Egypt,Premier League,Pyramids FC,Brazil,Others,Cruzeiro Esporte Clube,5000000,2018,Midfield
605,Marco Tumminello,Centre-Forward,19,1000000,Italy,Serie A,AS Roma,Italy,Serie A,Atalanta BC,5000000,2018,Attack
606,Marco Carraro,Defensive Midfield,20,800000,Italy,Serie A,Inter Milan,Italy,Serie A,Atalanta BC,5000000,2018,Midfield
607,Fabrício,Centre-Forward,28,4000000,Portugal,Others,Portimonense SC,Japan,Others,Urawa Red Diamonds,5000000,2018,Attack
608,Mathias Jensen,Central Midfield,22,1000000,Denmark,Others,FC Nordsjaelland,Spain,LaLiga,Celta de Vigo,5000000,2018,Midfield
609,Lenny Pintor,Left Winger,18,500000,France,Others,Stade Brestois 29,France,Ligue 1,Olympique Lyon,5000000,2018,Attack
610,Rubén Sobrino,Centre-Forward,26,3000000,Spain,LaLiga,Deportivo Alavés,Spain,LaLiga,Valencia CF,5000000,2018,Attack
611,Jonathan Ikoné,Right Winger,20,700000,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,LOSC Lille,5000000,2018,Attack
612,Florent Hadergjonaj,Right-Back,23,5000000,Germany,Others,FC Ingolstadt 04,England,Premier League,Huddersfield Town,5000000,2018,Defense
613,José Manuel Arnáiz,Left Winger,23,5000000,Spain,Others,FC Barcelona B,Spain,LaLiga,CD Leganés,5000000,2018,Attack
614,Kaveh Rezaei,Centre-Forward,26,4000000,Belgium,Others,RSC Charleroi,Belgium,Others,Club Brugge KV,5000000,2018,Attack
615,Moussa Wagué,Right-Back,19,3000000,Belgium,Others,KAS Eupen,Spain,Others,FC Barcelona B,5000000,2018,Defense
616,Ignasi Miquel,Centre-Back,25,1000000,Spain,Others,Málaga CF,Spain,LaLiga,Getafe CF,5000000,2018,Defense
